# ClassName	Offset	Value	Hex	Type	SourceFile	Context
GNScrollView	0x10	1	0x3f800000	hex_float	01cfb0d0.c	_02394220;       }       else {         *(undefined4 *)(unaff_RDI + 0x10) = 0x3f800000;         fVar3 = DAT
GNScrollView	0x14	1	0x3f800000	hex_float	01cfb0d0.c	_02394220;       }       else {         *(undefined4 *)(unaff_RDI + 0x14) = 0x3f800000;         fVar3 = DAT
GNScrollView	0x14	1	0x3f800000	hex_float	01cfb920.c	14)) || NAN(DAT_02390124))) {           *(undefined4 *)((longlong)puVar4 + 0x14) = 0x3f800000;           *(undefin
GNScrollView	0x14	0.66666001	0x3f2aaa3b	hex_float	01cfc0e0.c	4)) || NAN(_DAT_0241febc))) {           *(undefined4 *)((longlong)puVar4 + 0x14) = 0x3f2aaa3b;           *(undefin
GNScrollView	0x14	0.33333299	0x3eaaaa9f	hex_float	01cfc3c0.c	14)) || NAN(DAT_0241b3d0))) {           *(undefined4 *)((longlong)puVar4 + 0x14) = 0x3eaaaa9f;           *(undefin
GNScrollView	0x18	1	0x3f800000	hex_float	01cfb0d0.c	_02394220;       }       else {         *(undefined4 *)(unaff_RDI + 0x18) = 0x3f800000;         fVar3 = DAT
GNScrollView	0x1c	1	0x3f800000	hex_float	01cfb0d0.c	_02394220;       }       else {         *(undefined4 *)(unaff_RDI + 0x1c) = 0x3f800000;         fVar3 = DAT
GNSoundFileChunk	0x9c	1	0x3f800000	hex_float	00bbdf40.c	r32 + *(float *)(unaff_RDI + 0x94);     *(undefined4 *)(unaff_RDI + 0x9c) = 0x3f800000; LAB_00bbe9f8:     *
GNString	0x140	1	0x3f800000	hex_float	01f68250.c	Var30 <= 0.0) || (fVar31 <= 0.0)) {     *(undefined4 *)(unaff_RDI + 0x140) = 0x3f800000;     return 0;   }
GNString	0x150	1.3	0x3fa66666	hex_float	00b2a950.c	0) {       FUN_00d50b20();     }   }   *(undefined4 *)(unaff_RDI + 0x150) = 0x3fa66666;   *(undefined1 *)(u
GNString	0x178	2	0x4000000040000000	hex_float	01e601f0.c	0) {       FUN_00d50b20();     }   }   *(undefined8 *)(unaff_RDI + 0x178) = 0x4000000040000000;   *(undefined4 *)(u
GNString	0x180	10	0x41200000	hex_float	01e601f0.c	ff_RDI + 0x178) = 0x4000000040000000;   *(undefined4 *)(unaff_RDI + 0x180) = 0x41200000;   return; }
GNString	0x28	6	0x40c00000	hex_float	01e621d0.c	}       }       else {         *(undefined4 *)(DAT_028ba080 + 0x28) = 0x40c00000;       }       DAT_0
GNString	0x28	10	0x41200000	hex_float	01e625e0.c	}       }       else {         *(undefined4 *)(DAT_028ba090 + 0x28) = 0x41200000;       }       DAT_0
GNString	0x280	32	0x842000000	hex_float	00e9ff20.c	*(int *)(unaff_RDI + 0x294) == 1) {     *(undefined8 *)(unaff_RDI + 0x280) = 0x842000000;     *(undefined1 *)
GNString	0x2c	0.5	0x3f000000	hex_float	01d43f00.c	if (cVar4 != '\0') {             *(undefined4 *)((longlong)puVar6 + 0x2c) = 0x3f000000;           }
GNString	0x3e	1	0x3f800000	hex_float	01ce4ab0.c	uVar4;      lVar3 = unaff_RDI[0x3e];   *(undefined4 *)(unaff_RDI + 0x3e) = 0x3f800000;   FUN_01d91a10();
GNString	0x44	1	0x3f800000	hex_float	0188f2b0.c	T_02390124))) {     FUN_00d64850();     *(undefined4 *)(unaff_RDI + 0x44) = 0x3f800000;     FUN_00d64910();
GNString	0x4c	1	0x3f800000	hex_float	0188f2b0.c	T_02390124))) {     FUN_00d64850();     *(undefined4 *)(unaff_RDI + 0x4c) = 0x3f800000;     FUN_00d64910();
GNString	0x54	0.5	0x3f000000	hex_float	0188f2b0.c	T_0239011c))) {     FUN_00d64850();     *(undefined4 *)(unaff_RDI + 0x54) = 0x3f000000;     FUN_00d64910();
GNString	0x5c	1	0x3f800000	hex_float	0188f2b0.c	T_02390124))) {     FUN_00d64850();     *(undefined4 *)(unaff_RDI + 0x5c) = 0x3f800000;     FUN_00d64910();
GNTableView	0x14c	1	0x3f800000	hex_float	0198a0a0.c	;     if (DAT_02390124 < fVar2) {       *(undefined4 *)((longlong)unaff_RDI + 0x14c) = 0x3f800000;       FUN_01f27fe0(
