# Top 200 largest anonymous functions (likely DSP/core logic)
# Size	Address	Name
9938	00194050	FUN_00194050
9934	01838020	FUN_01838020
9931	00f47d00	FUN_00f47d00
9880	01a38d30	FUN_01a38d30
9863	012f0b60	FUN_012f0b60
9842	01281db0	FUN_01281db0
9782	01532cf0	FUN_01532cf0
9762	0093bd8e	FUN_0093bd8e
9704	013c4cd0	FUN_013c4cd0
9650	01103ee0	FUN_01103ee0
9630	012bd760	FUN_012bd760
9593	00c1aae0	FUN_00c1aae0
9578	01a26560	FUN_01a26560
9493	0079f9e0	FUN_0079f9e0
9438	01960580	FUN_01960580
9433	00947d1c	FUN_00947d1c
9338	01a4b680	FUN_01a4b680
9328	014d6590	FUN_014d6590
9301	01759fb0	FUN_01759fb0
9292	0153a4c0	FUN_0153a4c0
9173	01b47100	FUN_01b47100
9159	018d36c0	FUN_018d36c0
9112	0108a3a0	FUN_0108a3a0
9044	01e94020	FUN_01e94020
9035	0107e160	FUN_0107e160
8960	01f5bf10	FUN_01f5bf10
8953	016ecb60	FUN_016ecb60
8862	01924a10	FUN_01924a10
8849	01139490	FUN_01139490
8838	01b0adb0	FUN_01b0adb0
8836	01994460	FUN_01994460
8823	00a02082	FUN_00a02082
8719	01b84980	FUN_01b84980
8713	0085e050	FUN_0085e050
8688	01ab7b20	FUN_01ab7b20
8620	009eea0c	FUN_009eea0c
8589	01356870	FUN_01356870
8571	00ca2870	FUN_00ca2870
8569	007dd720	FUN_007dd720
8559	01aaa300	FUN_01aaa300
8510	0107c000	FUN_0107c000
8490	00f3d240	FUN_00f3d240
8458	00f274b9	FUN_00f274b9
8431	00f3b0f0	FUN_00f3b0f0
8428	009fdd9c	FUN_009fdd9c
8414	00459eb0	FUN_00459eb0
8387	00f7dd90	FUN_00f7dd90
8384	010882a0	FUN_010882a0
8276	014c4af0	FUN_014c4af0
8250	014f0c40	FUN_014f0c40
8250	017f7200	FUN_017f7200
8248	01a52960	FUN_01a52960
8215	00c7c740	FUN_00c7c740
8208	006d4ca0	FUN_006d4ca0
8187	01b88cd0	FUN_01b88cd0
# Total anonymous functions > 500 bytes: 7859
