00efdfff	_ZSTD_getCParamsFromCDict
00efe01d	_ZSTD_getDictID_fromCDict
00efe031	_ZSTD_compressBegin_usingCDict_advanced
00efe277	_ZSTD_compressBegin_usingCDict_deprecated
00efe28c	_ZSTD_compressBegin_usingCDict
00efe2a1	_ZSTD_compress_usingCDict_advanced
00efe30e	_ZSTD_compress_usingCDict
00efe32d	_ZSTD_createCStream
00efe350	_ZSTD_createCStream_advanced
00efe35a	_ZSTD_initStaticCStream
00efe364	_ZSTD_freeCStream
00efe36e	_ZSTD_CStreamInSize
00efe379	_ZSTD_CStreamOutSize
00efe384	_ZSTD_resetCStream
00efe3a8	_ZSTD_initCStream_internal
00efe41d	_ZSTD_initCStream_usingCDict_advanced
00efe44d	_ZSTD_initCStream_usingCDict
00efe47a	_ZSTD_initCStream_advanced
00efe547	_ZSTD_initCStream_usingDict
00efe5a2	_ZSTD_initCStream_srcSize
00efe63b	_ZSTD_initCStream
00efe6aa	_ZSTD_compressStream
00efe6f7	_ZSTD_compressStream2
00eff164	_ZSTD_compressStream2_simpleArgs
00eff1c9	_ZSTD_copySequencesToSeqStoreExplicitBlockDelim
00eff650	_ZSTD_copySequencesToSeqStoreNoBlockDelim
00effb5b	_ZSTD_compressSequences
00f00269	_ZSTD_flushStream
00f002bb	_ZSTD_endStream
00f00348	_ZSTD_defaultCLevel
00f00353	_ZSTD_getCParams
00f0037d	_ZSTD_getParams
00f003b6	_ZSTD_registerSequenceProducer
00f03a54	_FSE_buildCTable_wksp
00f03d17	_FSE_NCountWriteBound
00f03d36	_FSE_writeNCount
00f03fd9	_FSE_optimalTableLog_internal
00f04028	_FSE_optimalTableLog
00f0407b	_FSE_normalizeCount
00f04390	_FSE_buildCTable_rle
00f043b3	_FSE_compress_usingCTable
00f047d1	_FSE_compressBound
00f047e8	_HUF_readDTableX1_wksp
00f04c60	_HUF_readDTableX2_wksp
00f0518b	_HUF_decompress1X2_DCtx_wksp
00f057a0	_HUF_selectDecoder
00f057ee	_HUF_decompress1X_DCtx_wksp
00f058be	_HUF_decompress1X1_DCtx_wksp
00f05948	_HUF_decompress1X_usingDTable
00f05c44	_HUF_decompress4X_usingDTable
00f08e70	_HUF_decompress4X_hufOnly_wksp
00f0d657	_ZSTD_compressSuperBlock
00f0e37c	_ZSTD_ldm_adjustParameters
