# Class	FunctionAddr	Size	Strings
MDTrackInsp	006c76c0	7022	20 strings
GNOverloudMutronIIIWah	00c0f280	6947	5 strings
MUSampledFunction	0175d1d0	6878	2 strings
MDMetaWindowController	003a94d0	6865	1 strings
GNData	00d18390	6843	4 strings
GNData	00bb06e0	6834	2 strings
GNList	00dc6010	6675	4 strings
GNStorage	015985f0	6672	1 strings
MULSSGenerator	0015b0f0	6622	1 strings
GNList	01ec5810	6506	3 strings
GNString	018ec910	6499	1 strings
GNList	00d33a10	6488	15 strings
GNDictionary	01cdb6a0	6355	3 strings
GNMultiRulerView	01d9af40	6351	1 strings
MUElementAnalyzer	0070c1e0	6318	2 strings
GNEvent	01931100	6302	1 strings
MUAraAudioSource	0048d550	6259	3 strings
MUAudioFileSource	0075a190	6234	1 strings
GNTextView	001fc440	6225	1 strings
GNData	01c99560	6187	2 strings
GNString	01b12970	6120	1 strings
MUQuarterSequenceView	01b66e10	6107	19 strings
GNEditingContextReadCopySyncObserver	0118be50	6059	3 strings
MUElementAnalyzer	013903d0	5999	1 strings
MUScalePitchSystem	01a1e750	5981	1 strings
GNString	00e19950	5970	3 strings
GNFilePath	00380dd0	5766	2 strings
MUAudioSourceDescription	005b1e40	5742	45 strings
MUPercussivePitchSystem	01bab160	5703	1 strings
GNList	00e7ebe0	5702	1 strings
MUMultimicEngine	01174240	5659	1 strings
GNList	01e30e20	5642	15 strings
MUSpectrumShaper	011c8690	5621	45 strings
GNImage	002c07c0	5558	14 strings
GNList	01800c00	5553	3 strings
MDFileBrowserInsp	00375aa0	5507	16 strings
GNList	00dc3440	5487	5 strings
MDMetaWindowController	00704d30	5485	1 strings
GNResponder	000a32b0	5474	40 strings
MULSSComponentRenderer	012b5260	5471	3 strings
GNUni	01153590	5423	42 strings
GNList	01cb0670	5422	7 strings
MUScalePitchSystem	019d51d0	5390	1 strings
MUAudioSourceDescription	01351de0	5370	2 strings
GNList	00d0e040	5284	3 strings
GNString	00dfe080	5281	1 strings
GNList	01dec860	5271	1 strings
GNList	01ebcc70	5259	3 strings
GNList	01588e90	5253	3 strings
GNString	00e600c0	5227	1 strings
MUElementAnalyzer	01662bd0	5221	1 strings
GNClassDescription	01f5f6d0	5211	6 strings
MUScaleBrowserItem	01b4ed20	5208	2 strings
MUAudioFileSource	00127790	5152	1 strings
MUAudioFileSource	01c9b940	5097	1 strings
GNString	00dfb1b0	5022	1 strings
GNString	00800160	4998	3 strings
GNList	01f04a00	4997	1 strings
GNMultipleValue	01ec2d30	4995	3 strings
GNLocaleDataProvider	000067e0	4919	36 strings
MUAraMusicalContext	00221970	4885	3 strings
QualityScoring	01948fc0	4884	5 strings
MUScaleBrowserItem	01b391e0	4877	1 strings
GNFilePath	0007a0d0	4875	5 strings
MUAraAudioSource	01699090	4823	1 strings
MDToolbarTempoCtrl	000870e0	4785	15 strings
MDURLOpenedController	0027f1f0	4760	1 strings
GNList	00e23db0	4731	14 strings
GNData	017f55a0	4704	1 strings
MUDetectionEditorView	005a97a0	4650	1 strings
MUVoiceMapper	011d59f0	4618	1 strings
MUMultiTrackItem	002e5a30	4599	1 strings
GNList	00111ab0	4582	4 strings
GNFont	01e0f330	4566	15 strings
GNTableView	01dc82c0	4560	14 strings
MDExportAudioController	001305f0	4559	1 strings
MDEditorViewController	0039c9d0	4558	1 strings
MUAudioFileSource	0015fd00	4548	1 strings
GNString	00e65ef0	4545	2 strings
MUSpectrumShaper	011afb50	4495	28 strings
GNString	00292f50	4491	2 strings
GNString	006ee080	4490	1 strings
MUScalePitchSystem	01a29bc0	4474	1 strings
GNDictionary	00dc8890	4453	1 strings
GNList	01f94cb0	4453	2 strings
MUAudioFileSource	012e1a00	4441	1 strings
GNList	00d1c6d0	4427	3 strings
MUSpectrumShaper	01b5e5b0	4424	1 strings
MUAraAudioSource	0048ba10	4413	4 strings
GNList	00d7bac0	4411	3 strings
MUSpectralTimeSlice	015c4e40	4396	3 strings
GNList	01c056e0	4385	1 strings
MDMetaWindowController	006d16c0	4373	1 strings
MDEditorScrollView	00258910	4361	1 strings
GNPropertyObserver	0026cd40	4361	3 strings
TSocket	00adb8e0	4355	11 strings
MUAraAudioSource	0169d230	4345	3 strings
MDEditorScrollView	002323f0	4263	1 strings
MDMetaWindowController	00465c80	4224	1 strings
GNHTTPRequest	00e74220	4219	1 strings
GNKeyValueUnarchiverDelegate	00209e70	4174	21 strings
GNPropertyObserver	0058deb0	4173	2 strings
GNList	006ce3a0	4153	2 strings
MULSSGenerator	012cce00	4151	1 strings
MDMetaWindowController	003bcea0	4142	1 strings
GNString	00527740	4120	1 strings
MDWorkspaceView	003b4560	4112	1 strings
GNUni	00039a90	4091	31 strings
MDProjectInsp	002c3530	4070	12 strings
GNHeartbeatHandler	00847230	4054	2 strings
MDEditorScrollView	004fca20	4037	12 strings
GNData	00bb2c20	4003	1 strings
GNUIDesignerDoc	01e2b0c0	4000	1 strings
GNSoundFileWAVEReader	007c11c0	3996	1 strings
MUAudioSourcePropertyPoint	0110d1c0	3984	1 strings
MDMetaWindowController	00707bf0	3927	1 strings
MUElementAnalyzer	0078e820	3891	1 strings
MUElementAnalyzer	0119def0	3878	30 strings
MDMetaDocumentController	00366040	3857	1 strings
GNRootView	00095750	3845	2 strings
MUPercussivePitchSystem	00153530	3837	4 strings
GNObject	001c36b0	3837	26 strings
GNString	01c08690	3829	1 strings
GNSlider	00581680	3815	17 strings
MUAraAudioSource	007860e0	3801	2 strings
MDAudioTrackItem	0037d660	3797	2 strings
MUEditorElementView	019bb770	3782	1 strings
MUSpectralPointDNA	011ac170	3766	1 strings
MUMultiTrackView	002fb9c0	3756	2 strings
GNFormatter	00df8bf0	3755	4 strings
MUPitchMapper	0180d2e0	3748	1 strings
GNList	00d72c70	3739	12 strings
GNControl	01d0d660	3738	12 strings
MUPercussivePitchSystem	0150aa70	3731	5 strings
MUScaleOpenPanel	01b302d0	3729	12 strings
MUScalePitchSystem	01b25670	3713	1 strings
GNData	00bb43f0	3710	2 strings
GNData	0159aa90	3710	1 strings
MUAudioSourcePrincipalItem	01ba6160	3678	1 strings
GNFilePath	002d3da0	3677	1 strings
MUPulseAssignmentTarget	011f4f10	3676	1 strings
MUElementAnalyzer	00793a50	3673	1 strings
GNString	00e6dc80	3669	2 strings
GNString	003375f0	3668	1 strings
GNString	00cd1020	3665	2 strings
MUPartMappingState	01184690	3653	1 strings
GNControl	000f62d0	3635	1 strings
GNPlugInWrapperDelegate	00bce900	3626	1 strings
MDMetaWindowController	00464580	3623	1 strings
GNUni	001f8d00	3614	24 strings
MUAudioIOSlot	007549f0	3610	1 strings
MUDetectionSeparationTool	00253c20	3576	1 strings
GNFilePath	00cde3f0	3571	10 strings
MDURLOpenedController	00103050	3569	1 strings
GNString	00481b90	3553	2 strings
MUScaleBrowserItem	01ab04a0	3548	1 strings
GNString	00b8cce0	3538	2 strings
MDEditorViewController	005c0400	3526	3 strings
GNOverloudConvolver	00c251f0	3521	2 strings
GNString	017a5880	3520	2 strings
GNResponder	0020e5b0	3515	27 strings
MDMetaWindowController	005d1b20	3509	3 strings
MUPreviewController	0036a8d0	3486	2 strings
QualityScoring	01114900	3471	23 strings
MULSSGenerator	005228a0	3465	1 strings
GNValue	01b96de0	3459	1 strings
GNString	00e70a20	3450	2 strings
MULSSGenerator	004f83c0	3428	1 strings
MDToolbarTransportCtrl	000e95a0	3421	11 strings
GNClipView	01cf2570	3421	11 strings
GNUni	011b5fd0	3405	25 strings
GNString	018c0160	3401	5 strings
GNString	01f634e0	3398	3 strings
GNString	01da6520	3392	2 strings
GNTextView	00513640	3389	6 strings
GNString	01f65830	3389	4 strings
GNString	00dcd0a0	3370	2 strings
MUTimeSliceParameterBuffer	011c5bb0	3369	1 strings
GNSoundFile	0010db00	3362	1 strings
GNString	00e6b740	3353	2 strings
MUSampledFunction	001001a0	3335	1 strings
MDElementInsp	0032c700	3332	10 strings
GNActionGroup	01f89e00	3331	2 strings
MUElementAnalyzer	00772ab0	3327	2 strings
MUPulseAssignmentTarget	011f3be0	3313	1 strings
MDAudioTrackItem	00559ea0	3295	1 strings
MUAlignmentAnchor	01886fe0	3282	1 strings
MUAudioFileSource	002c9a70	3256	1 strings
GNAudioProcessorTimeInfo	007abdb0	3221	1 strings
GNList	0052fb60	3208	1 strings
GNString	00d31a90	3207	3 strings
MUAudioSourceDescription	010ff5d0	3187	29 strings
GNRootView	000c49f0	3184	2 strings
GNFilePath	00246260	3181	4 strings
GNOutlineViewDataSource	008196d0	3126	6 strings
GNRootView	01e23740	3122	1 strings
GNFilePath	01f85db0	3109	1 strings
MUScalePitchSystem	019f65a0	3099	1 strings
MUScaleBrowserItem	01b4d890	3080	1 strings
MUSpectrumShaper	01ab3840	3075	10 strings
GNAudioProcessor	005fea00	3072	1 strings
GNFilePath	01f938b0	3062	1 strings
MUScaleBrowserItem	01b51da0	3054	1 strings
MDExportController	0011b850	3053	10 strings
MULSSGenerator	00488f50	3048	1 strings
MUSpectrumShaper	01bd69c0	3034	1 strings
GNFileType	00e1db90	3033	9 strings
GNString	00486560	3026	2 strings
GNMidiFileReader	00b070b0	3025	1 strings
GNString	01502670	3016	2 strings
MUAudioFileSource	017a7c70	3015	1 strings
MUAudioSourcePrincipalItem	01a13ed0	3011	1 strings
GNClipView	001b6490	3009	1 strings
MUAudioFileSource	00760600	3009	1 strings
GNList	01ccd250	2997	3 strings
GNList	00387110	2990	2 strings
MDEditorViewController	00645c10	2973	1 strings
MULSSGenerator	004879c0	2967	1 strings
MUElementAnalyzer	00791e10	2965	2 strings
MUAudioSourcePrincipalItem	014d26c0	2940	1 strings
GNList	0181f210	2938	13 strings
MULSSComponentRenderer	012b84d0	2937	3 strings
MUAudioFileSource	004a2840	2934	2 strings
MDURLOpenedController	0071c4a0	2933	1 strings
MDWorkspaceView	000a5ee0	2930	1 strings
MDURLOpenedController	0071d920	2925	1 strings
MUSpectrumShaper	011b2e50	2923	20 strings
MDEditorViewController	0077e980	2917	2 strings
GNList	01bb14c0	2897	1 strings
MULSSGenerator	01bd7b90	2891	1 strings
MUChordHarmonyNote	0187d700	2867	1 strings
MDEditorViewController	00329480	2860	1 strings
MUAudioFileSource	00494690	2854	1 strings
MUElementAnalyzer	00784900	2844	1 strings
MUPitchMapper	01196100	2843	1 strings
MUAudioSourceAttackItem	013dfef0	2820	1 strings
GNRootView	001adcf0	2812	1 strings
GNList	00d105c0	2803	1 strings
GNFormatter	00e02ae0	2803	4 strings
GNList	00d1b5a0	2785	4 strings
GNList	00d75f50	2783	13 strings
GNDictionary	01de3030	2753	1 strings
MDMetaWindowController	0032a4c0	2746	1 strings
MDToolbarActivityCtrl	000f2940	2739	9 strings
GNScrollView	01d942e0	2739	9 strings
GNList	01f06a80	2736	1 strings
MUSpectrumShaper	01b5c650	2715	9 strings
GNList	0009f2a0	2713	4 strings
MUAudioFileSource	00491110	2709	1 strings
GNString	00d89590	2707	6 strings
GNAttributeType	00c78cd0	2690	8 strings
GNString	00e271f0	2689	2 strings
GNList	018c3af0	2685	8 strings
GNAudioMeterView	00af71b0	2660	1 strings
GNFilePath	00b79970	2656	9 strings
EnergyClaimSystem	0059ba40	2643	20 strings
MUAraAudioSource	002312f0	2638	3 strings
GNSoundFileALACReader	007b96b0	2638	1 strings
MUSampledFunction	01316d80	2635	1 strings
MDAnalyserTestView	00582b10	2633	1 strings
MUAudioFileSource	00492370	2632	1 strings
MUAraDocumentController	016a1890	2625	2 strings
MDViewSettings	005f0ba0	2622	1 strings
MDURLOpenedController	0063d970	2610	1 strings
GNAudioDevicePrefCtrl	00bebd90	2594	8 strings
MDURLOpenedController	0063b490	2590	1 strings
MUAudioSourcePrincipalItem	014d39b0	2583	1 strings
MUAudioFileSource	00761a80	2569	1 strings
GNString	01892930	2564	1 strings
MDMetaWindowController	00088bb0	2548	1 strings
MDNotificationObserver	00302550	2538	18 strings
GNString	00338e90	2532	1 strings
GNBrowser	0083cc40	2530	1 strings
MUAraMinApiGeneration	016acf90	2524	7 strings
MDURLOpenedController	0063c780	2519	1 strings
GNList	01b57030	2518	1 strings
GNValue	00dde270	2509	2 strings
MUSpectrumShaper	01b5d300	2507	1 strings
MULSSGenerator	01650af0	2504	1 strings
GNMultipleValue	01ccad90	2497	1 strings
GNUni	010f3160	2496	20 strings
GNUni	01696b40	2494	19 strings
GNList	00d0b140	2493	3 strings
MUScalePitchSystem	01a2db70	2493	1 strings
GNToolBox	0019f010	2491	1 strings
MDExportAudioController	00129ad0	2488	1 strings
GNIconsView	01e82060	2482	1 strings
MDMetaWindowController	002ecd30	2479	1 strings
GNOverloudConvolverIR	00c1ffc0	2479	7 strings
GNString	01ce54a0	2465	1 strings
MUElementAnalyzer	0077cd50	2462	3 strings
MDTimeGridController	002b3880	2461	1 strings
MDEditorScrollView	002bbb70	2461	2 strings
GNLocalizationTarget	001efe70	2442	2 strings
MUMultiTrackView	00650980	2430	1 strings
GNString	01c723c0	2429	2 strings
MUAudioFileSource	00267bd0	2428	1 strings
MUAudioSourcePrincipalItem	014d4f90	2428	1 strings
MUScalePitchSystem	019cddf0	2428	1 strings
MUElementAnalyzer	00770960	2427	1 strings
MUAudioSourcePrincipalItem	014d44f0	2420	1 strings
MDMetaWindowController	00139430	2410	3 strings
MUElementAnalyzer	014adca0	2407	1 strings
MUSpectrumShaper	01bdee90	2405	3 strings
GNAudioHALDevice	007c7bc0	2403	1 strings
GNTabView	01dfd890	2398	8 strings
MUPercussivePitchSystem	005039a0	2394	2 strings
TSocket	00add580	2374	2 strings
GNTextView	01e459c0	2374	1 strings
MUTrack	011687c0	2373	3 strings
MUTool	01a5b5e0	2371	1 strings
GNList	01e10690	2371	3 strings
MUTempoEditorView	0071fc50	2359	2 strings
MDEditorDescription	005748e0	2341	1 strings
MDWorkspaceView	006c3b00	2328	1 strings
MDMetaWindowController	007f83c0	2310	2 strings
MUMultiTrackItem	004f6020	2305	2 strings
GNUni	005f86e0	2297	15 strings
MDMetaWindowController	0008d170	2287	1 strings
MUScaleBrowserItem	01aa5120	2278	1 strings
GNInspector	01f03a80	2269	1 strings
GNSoundFile	00244b20	2266	3 strings
MUChord	01a6cf00	2239	1 strings
MUDetectionEditorView	01bbcdd0	2232	1 strings
GNDebugObjectBrowser	01f5ab60	2225	7 strings
GNString	0177f010	2223	1 strings
GNList	00d43550	2222	1 strings
GNValue	00dbf000	2218	5 strings
MUScalePitchSystem	017178d0	2215	1 strings
MDMetaWindowController	000bb160	2214	1 strings
MUSpectralTimeSlice	011aa9e0	2213	1 strings
MUSpectrumShaper	01bd5d50	2213	2 strings
MUAudioFileSource	00535670	2212	1 strings
MDAudioTrackHeaderViewController	003b9370	2207	7 strings
MDCopyDataToController	0050f8b0	2207	7 strings
MDEditorViewController	0033fef0	2201	2 strings
MUTestValue	018b6570	2201	1 strings
MUTempoEditorView	0010ae60	2199	3 strings
MUScaleTuningIntervalForAnalysis	011a8140	2198	1 strings
GNKeyValueUnarchiverDelegate	00820940	2181	4 strings
GNData	01da3800	2177	2 strings
GNList	01a8a710	2175	1 strings
MDEditorViewController	007eca30	2166	1 strings
GNValue	01a6f360	2162	2 strings
GNList	01bbe490	2162	8 strings
GNOverloudCompG	00c37a80	2153	1 strings
MDEditorViewController	00333b00	2152	1 strings
GNList	0036f6e0	2150	1 strings
MDMetaWindowController	00512790	2149	2 strings
GNUni	005dc2b0	2144	22 strings
GNList	0002cde0	2127	18 strings
GNUni	0053f150	2125	17 strings
MUChordRootAnalyzerEntry	017982d0	2099	1 strings
QualityScoring	01bff300	2096	4 strings
MUAudioFileSource	00533b90	2094	1 strings
GNList	01df3040	2091	1 strings
MUQuarterSequenceView	00657c30	2089	1 strings
GNOperationProgressObserver	00044470	2086	3 strings
GNGraphicsContextState	01d4bfe0	2086	1 strings
GNUni	01158640	2084	21 strings
MUAudioFileSource	00534960	2083	1 strings
GNDate	00b444a0	2083	1 strings
MUTempoEditorViewItem	01c7a3d0	2079	1 strings
MDWorkspaceView	00654180	2064	1 strings
GNString	00e3ddb0	2063	1 strings
MUSpectrumShaper	011af000	2061	14 strings
MUSpectrumShaper	01b836f0	2061	7 strings
MUAudioFileSource	00240bc0	2058	1 strings
MDLayer	003b6a50	2057	7 strings
GNMenuItem	01d636b0	2057	7 strings
GNLocaleExportController	01f6f220	2057	7 strings
GNShortCutOutlineController	01f822e0	2057	7 strings
MUAudioFileSource	012cc0c0	2050	1 strings
GNEvent	001c7610	2039	1 strings
MUScaleSavePanel	01b4b060	2039	7 strings
MDToolbarTempoCtrl	0087bf80	2032	3 strings
GNString	0048fe80	2015	1 strings
MUScaleDetectionOptionsData	01b54370	2009	1 strings
GNList	01665120	2002	1 strings
MUTrackRenderer	011ce5e0	1995	1 strings
GNScrollView	002b4e40	1994	2 strings
GNUni	00af64b0	1994	15 strings
GNSoundFile	007b0440	1992	1 strings
GNUni	00afc2d0	1989	15 strings
MDDocumentViewController	005b6230	1984	4 strings
GNPropertyObserver	0085a740	1978	2 strings
MDMetaWindowController	00493490	1971	1 strings
GNHeartbeatHandler	00210580	1968	2 strings
MUScaleBrowserItem	01b51100	1967	1 strings
MDMetaWindowController	0008a6e0	1963	2 strings
MDExportController	007954a0	1963	2 strings
GNString	00cd29e0	1960	2 strings
MUScalePitchSystem	01b17840	1955	1 strings
GNUni	017964f0	1954	15 strings
MUAudioFileSource	00790110	1952	1 strings
GNCelemonyHTTPDownloadRequest	00e51950	1949	1 strings
GNString	0033a220	1943	1 strings
GNUni	011b7e40	1940	18 strings
GNModuleView	01eb6770	1938	7 strings
MDMetaWindowController	003ad1d0	1927	1 strings
MUSpectrumShaper	01bdbfa0	1927	3 strings
GNInt	0176d660	1902	17 strings
MDAudioTrackItem	004b2fa0	1893	1 strings
GNList	012e3d30	1892	10 strings
GNThread	00060b50	1889	1 strings
GNFilePath	01c37290	1886	1 strings
MUTool	00234400	1879	1 strings
MUAudioSourceAttackItem	0128e760	1870	1 strings
GNString	002c78b0	1869	2 strings
GNString	00e925a0	1868	2 strings
MUComposition	01182110	1862	20 strings
MDMetaWindowController	0008f9e0	1857	2 strings
MDMetaWindowController	0008ee80	1852	3 strings
MUScaleRegion	01880930	1846	1 strings
GNList	01bf3db0	1841	3 strings
GNString	0048a720	1826	1 strings
MUScalePitchSystem	019b7a60	1826	1 strings
GNString	00dd28a0	1816	1 strings
MDMetaWindowController	0036c630	1814	2 strings
GNOverloudCompG	00c4a720	1814	1 strings
GNScrollView	01db3040	1814	1 strings
GNJSONParser	00cfd570	1809	1 strings
GNList	00c1ea10	1808	3 strings
MDAudioTrackItem	002e4d80	1798	1 strings
MDAudioTrackItem	002ec210	1797	2 strings
GNCelemonyHTTPUploadRequest	00e524d0	1788	3 strings
GNInt	00b12ed0	1784	12 strings
GNHTTPProcessor	00e95410	1781	1 strings
MUAudioSourcePrincipalItem	010fee50	1778	1 strings
MDEditorScrollView	004f17e0	1777	1 strings
GNString	00292400	1774	1 strings
MUFilterEngine	0114d3c0	1774	1 strings
GNInt	010fc3b0	1771	13 strings
MUElement	01181260	1771	17 strings
MDCopyDataToController	0058a460	1760	1 strings
MDMetaWindowController	003a88e0	1752	2 strings
GNSoundFileNFFReader	007be3a0	1746	1 strings
GNPropertyObserver	0050aad0	1743	2 strings
GNUni	011337c0	1743	15 strings
MUAraAudioSource	005dab40	1742	14 strings
GNActionGroup	01f8e100	1741	2 strings
GNHeartbeatHandler	0059c6c0	1739	2 strings
MUElement	0082db10	1738	12 strings
MDMetaWindowController	0044a930	1732	1 strings
GNData	01da28b0	1727	4 strings
GNMidiEventPacket	00b0d440	1721	14 strings
QualityScoring	01bf95e0	1720	3 strings
GNFraction	011a17a0	1715	14 strings
MDToolbarTempoPluginCtrl	003a5120	1712	6 strings
MDToolbarVolumeCtrl	00447590	1712	6 strings
MDToolbarEditModeCtrl	0045e210	1709	6 strings
GNSoundFile	002457d0	1706	3 strings
MUColorCorrectionCtrl	01b59670	1697	6 strings
MUSpectrumShaper	01bd3370	1697	6 strings
GNFilePath	01c24960	1691	1 strings
MDEditorViewController	004b2010	1689	1 strings
MDEditorViewController	0079e760	1689	1 strings
MUAraPlugInWrapper	000111e0	1686	1 strings
GNAudioSimpleFilter	00afd060	1686	1 strings
MDMetaWindowController	003a7cf0	1680	1 strings
GNHeartbeatHandler	00838f20	1678	12 strings
MUTempoDetectionRegion	011c3290	1662	1 strings
GNList	01aafac0	1662	2 strings
GNDictionary	019ea7c0	1659	1 strings
MUChordLabelingSystem	01116000	1657	1 strings
GNPlugInWrapper	0000bce0	1653	3 strings
GNUndoManager	00065940	1652	1 strings
GNUni	002720c0	1651	13 strings
GNString	01d85bb0	1647	2 strings
GNObject	00d59fc0	1644	2 strings
MDTrackInsp	005e92e0	1641	2 strings
MDEditorViewController	00340ca0	1638	2 strings
MUAudioSourceDescription	010f06d0	1637	11 strings
GNMenuItem	001d9b50	1635	2 strings
MUAudioRecorder	010f86d0	1631	1 strings
GNString	006cb600	1629	2 strings
GNClassDescription	0002f700	1627	1 strings
GNDictionary	01db5b00	1623	1 strings
GNPopUpButton	01d1ae90	1619	2 strings
MUScaleCreationData	00843ae0	1614	1 strings
GNValue	01a6e960	1609	1 strings
GNHeartbeatHandler	0018cef0	1608	2 strings
MUNoiseRange	00871b80	1608	1 strings
MUScalePitchSystem	019973f0	1608	1 strings
GNBackgroundView	01e7a8e0	1602	1 strings
GNSoundFileChunk	00bb72e0	1601	1 strings
GNOverloudTapedesk	00c2f0a0	1601	1 strings
GNSimpleXMLStream	00be82e0	1600	1 strings
GNUni	011b4c00	1595	14 strings
GNValue	01d10400	1595	3 strings
MDEditorScrollView	005ba8e0	1592	3 strings
GNString	01a95160	1591	1 strings
GNStringTable	0011e190	1589	2 strings
MUAudioFileSource	004f0450	1588	1 strings
MDPluginDocument	0053c980	1588	1 strings
GNOverloudTapedesk	00c47240	1588	1 strings
GNObject	0002a9b0	1586	11 strings
GNFetchSpecification	00cf6010	1586	1 strings
GNData	007f3f10	1584	1 strings
GNSplitViewItem	001ee6b0	1577	1 strings
MUAudioSourceAttackItem	007ee1b0	1577	1 strings
GNFraction	01707c30	1575	12 strings
MUElement	0084d700	1572	12 strings
GNMultipleValue	01ec0ac0	1570	1 strings
MUTempoPeriod	011c0dc0	1566	1 strings
MDHorizontalRulerSelectorView	004ff560	1562	1 strings
GNMidiValue	00b0f730	1561	12 strings
GNSoundFileWAVEWriter	007c3e50	1560	1 strings
GNList	00d56410	1556	2 strings
GNList	00d56b80	1552	2 strings
MUAudioRingBuffer	010fd360	1552	1 strings
MDMetaWindowController	002a8ee0	1551	1 strings
MUTranspositionMapper	011d3330	1550	1 strings
GNMultipleValue	01e064a0	1547	2 strings
GNFilePath	015aad80	1545	1 strings
MUPulseAssignmentTarget	011f3320	1543	1 strings
MUTempoEditorView	002b7ee0	1540	1 strings
GNAttributeType	00c76230	1538	9 strings
GNAudioProcessor	011f03e0	1534	9 strings
GNActionRegistration	01f8be80	1534	1 strings
MUAudioFileSource	0076e660	1530	1 strings
MDAudioTrackItem	002ea230	1527	1 strings
GNString	01f2bbf0	1523	1 strings
GNData	01eb34e0	1522	2 strings
GNSoundFileAIFFReader	007b5c70	1519	1 strings
MUElementAnalyzer	00791550	1518	1 strings
GNString	015016a0	1518	2 strings
MULSSComponentRenderer	012b6860	1514	3 strings
GNScrollView	001e9800	1513	1 strings
GNColor	01df63b0	1513	3 strings
GNColor	01df6bd0	1513	3 strings
GNValue	01b989f0	1512	1 strings
GNPlugInWrapperDelegate	00b4edb0	1511	1 strings
GNList	00110e00	1509	4 strings
MDToolbarTempoPluginCtrl	0046ba30	1507	1 strings
GNSoundFileSNDReader	007bfbe0	1504	1 strings
MDWorkspaceView	002ef240	1501	1 strings
GNMenu	01d61e70	1500	1 strings
GNAlertPanel	01f6ca30	1500	1 strings
GNString	01d1eef0	1496	3 strings
GNList	01883ac0	1493	1 strings
MDAudioSourceInsp	0015f220	1479	5 strings
MDPluginTransferTempoDialog	00544340	1479	5 strings
MDTimeGridController	005548c0	1479	5 strings
MDToolbarScaleModeCtrl	00475480	1475	1 strings
MDURLOpenedController	00639aa0	1473	1 strings
GNFilePath	00388260	1472	2 strings
MUScaleRulerView	01ad3e60	1471	1 strings
GNTabView	001f42d0	1469	1 strings
MDScaleEditorSelectorView	002b9220	1467	5 strings
MDWelcomePanelController	0071b4f0	1467	5 strings
MUDetectionEditorView	0192fde0	1467	5 strings
MDPluginMenuViewController	0062b480	1466	1 strings
GNMultiRulerView	01d99230	1464	1 strings
GNString	00c76c80	1463	2 strings
MUSamplerComponentRenderer	011a2660	1462	1 strings
GNHeartbeatHandler	0030cb40	1461	3 strings
GNList	00de06d0	1459	2 strings
